id,category,question,answer,source
42,Recipes,How do I make slime with liquid starch?,Use a recipe designed for liquid starch. Add the starch gradually to PVA glue while stirring until the mixture forms and then knead it.,Curated from Michigan Science Center; Fun Science UK; One Little Project
43,Recipes,How do I make galaxy slime?,"Use clear slime as a base, add colors such as blue, purple, or red and optional glitter, then activate gradually. Separate colors can be combined for a galaxy effect.",Curated from Michigan Science Center; Fun Science UK; One Little Project
44,Recipes,How do I make simple beginner slime?,Start with PVA glue and one suitable activator system. Avoid adding many extras until the basic slime texture is working.,Curated from Michigan Science Center; Fun Science UK; One Little Project
45,Recipes,How do I make slime without adding decorative ingredients?,Use only the base polymer and the activator specified by the recipe. This produces a plain slime that is easier to troubleshoot.,Curated from Michigan Science Center; Fun Science UK; One Little Project
46,Slime Types,What is fluffy slime?,"Fluffy slime is a soft, airy slime made by incorporating shaving foam into a slime base.",Curated from One Little Project; Michigan Science Center; Fun Science UK
47,Slime Types,What is clear slime?,Clear slime is slime made with a transparent glue base and designed to become transparent after bubbles settle.,Curated from One Little Project; Michigan Science Center; Fun Science UK
48,Slime Types,What is crunchy slime?,Crunchy slime contains small texture pieces such as foam beads that create a crunchy or textured feel.,Curated from One Little Project; Michigan Science Center; Fun Science UK
49,Slime Types,What is glitter slime?,Glitter slime is slime decorated by mixing glitter into the slime base.,Curated from One Little Project; Michigan Science Center; Fun Science UK
50,Slime Types,What is galaxy slime?,Galaxy slime is a decorative style that combines dark or space-inspired colors and often glitter.,Curated from One Little Project; Michigan Science Center; Fun Science UK
51,Slime Types,What is colored slime?,Colored slime is slime with a coloring agent added to create a chosen shade.,Curated from One Little Project; Michigan Science Center; Fun Science UK
52,Slime Types,What is stretchy slime?,Stretchy slime is formulated and activated so that it can be pulled into long strands without breaking immediately.,Curated from One Little Project; Michigan Science Center; Fun Science UK
53,Slime Types,What is over-activated slime?,"Over-activated slime has too much cross-linking and commonly feels stiff, rubbery, or prone to tearing.",Curated from One Little Project; Michigan Science Center; Fun Science UK
54,Slime Types,What is under-activated slime?,Under-activated slime does not have enough cross-linking and commonly remains very sticky or runny.,Curated from One Little Project; Michigan Science Center; Fun Science UK
55,Slime Types,What is cloud-style slime?,Cloud-style slime is a textured slime designed to feel soft and airy. Its exact formulation varies by recipe.,Curated from One Little Project; Michigan Science Center; Fun Science UK
56,Slime Types,What is butter-style slime?,"Butter-style slime is a soft, spreadable slime style often made by combining slime with a clay-like additive.",Curated from One Little Project; Michigan Science Center; Fun Science UK
57,Slime Types,What is scented slime?,"Scented slime contains a fragrance additive. Only suitable craft-safe additives should be used, and the slime should not be eaten.",Curated from One Little Project; Michigan Science Center; Fun Science UK
58,Slime Types,What is textured slime?,"Textured slime contains additives that change how it feels, such as foam beads, glitter, or other craft inclusions.",Curated from One Little Project; Michigan Science Center; Fun Science UK
59,Slime Types,What is transparent slime?,Transparent slime is a clear slime whose bubbles have settled enough for the base to appear see-through.,Curated from One Little Project; Michigan Science Center; Fun Science UK
60,Slime Types,Can one slime have multiple textures?,"Yes. For example, a slime can be fluffy and colored, or clear and glittery, as long as the added materials are compatible with the base.",Curated from One Little Project; Michigan Science Center; Fun Science UK
61,Troubleshooting - Sticky and Runny,Why is my slime too sticky?,"The slime may be under-activated, or it may need more kneading. Add a very small amount of the activator used by the recipe, knead thoroughly, and reassess before adding more.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
62,Troubleshooting - Sticky and Runny,How do I fix sticky slime?,"Knead the slime first. If it remains very sticky, add a small amount of the appropriate activator and knead again.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
63,Troubleshooting - Sticky and Runny,Why is my slime still sticky after adding activator?,"The activator may be unsuitable, insufficient, or not evenly distributed. Check the recipe and ingredient list, then knead thoroughly before making another small adjustment.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
64,Troubleshooting - Sticky and Runny,Why is my slime runny?,A runny slime may not have enough effective activation or may contain too much liquid. Check the recipe and gradually adjust with the correct activator.,Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
65,Troubleshooting - Sticky and Runny,How do I fix runny glue slime?,"If the recipe uses an activator, add it gradually while stirring and kneading until the mixture begins to hold together.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
66,Troubleshooting - Sticky and Runny,Can I keep adding activator until sticky slime becomes firm?,"Add activator cautiously. Too much can make slime stiff and rubbery, so small additions followed by kneading are safer for texture control.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
67,Troubleshooting - Sticky and Runny,Should I add activator all at once?,No. Gradual addition gives you more control over the texture and helps prevent over-activation.,Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
68,Troubleshooting - Sticky and Runny,Why does slime stick to my hands?,"The slime may be under-activated, or your hands may be warm or damp. Clean, dry hands and additional kneading can help.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
69,Troubleshooting - Sticky and Runny,Why does slime stick to the container?,"It may be under-activated or still settling. Knead it and, if necessary, make a small adjustment with the correct activator.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
70,Troubleshooting - Sticky and Runny,Can kneading fix sticky slime?,"Kneading can improve stickiness by distributing the activator and allowing the slime structure to develop. If it remains very sticky, a small amount of suitable activator may be needed.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
71,Troubleshooting - Sticky and Runny,What if my slime looks like glue soup?,"Check whether the correct glue and activator were used. If the recipe requires activation, add the correct activator gradually and mix thoroughly.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
72,Troubleshooting - Sticky and Runny,Why did my slime not activate?,"Common causes include unsuitable glue, an unsuitable activator, an incorrect ingredient combination, or insufficient mixing.",Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
73,Troubleshooting - Sticky and Runny,What if contact solution does not activate my slime?,Check its ingredients. Some contact solutions do not contain the borate compounds required by particular slime recipes.,Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
74,Troubleshooting - Sticky and Runny,Why did adding more water make my slime runny?,Water dilutes the mixture and can reduce its consistency. Add liquids carefully and follow the proportions of the recipe.,Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
75,Troubleshooting - Sticky and Runny,How long should I knead slime before changing the recipe?,Knead thoroughly and give the ingredients time to combine before making another adjustment. Avoid repeatedly adding activator without first mixing.,Curated from Slime in the Coconut; ScienceInsights; Fun Science UK; One Little Project
76,Troubleshooting - Hard and Overactivated,Why is my slime too hard?,"It may be over-activated or have lost moisture. A small amount of a suitable softening ingredient or careful kneading may help, depending on the recipe.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
77,Troubleshooting - Hard and Overactivated,Why is my slime rubbery?,Rubbery texture commonly indicates too much activation or an imbalance in the recipe.,Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
78,Troubleshooting - Hard and Overactivated,How do I fix over-activated slime?,"Try kneading it thoroughly and, depending on the recipe, gradually add a small amount of a compatible softening ingredient such as water or another base ingredient.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
79,Troubleshooting - Hard and Overactivated,Why does my slime tear instead of stretch?,The slime may be over-activated or too dry. Over-activation makes the polymer network tighter and can reduce stretch.,Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
80,Troubleshooting - Hard and Overactivated,Why does my slime break when I pull it?,"Pulling too quickly can make slime break. If it also feels stiff, it may be over-activated and need careful softening.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
81,Troubleshooting - Hard and Overactivated,Can I add water to hard slime?,"A small amount of water can sometimes soften a stiff slime, but add it gradually because too much can make the slime runny.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
82,Troubleshooting - Hard and Overactivated,Can I add lotion to hard slime?,Some slime recipes use lotion to soften texture. Add a small amount gradually and knead thoroughly.,Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
83,Troubleshooting - Hard and Overactivated,Why did my slime become hard after I added too much activator?,"Extra activator increases cross-linking, which can make the polymer network tighter and the slime stiffer.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
84,Troubleshooting - Hard and Overactivated,How can I avoid over-activating slime?,"Add activator in small amounts, knead between additions, and stop when the slime reaches the desired texture.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
85,Troubleshooting - Hard and Overactivated,Is stiff slime always ruined?,No. Some stiff slimes can be softened depending on the ingredients and how heavily they were over-activated.,Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
86,Troubleshooting - Hard and Overactivated,Why does my slime feel like rubber?,A rubbery feel often means the slime has become too highly cross-linked or has lost too much moisture.,Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
87,Troubleshooting - Hard and Overactivated,Can kneading soften stiff slime?,"Kneading can improve texture and distribute any added softening ingredient, although severely over-activated slime may remain stiff.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
88,Troubleshooting - Hard and Overactivated,Why did my slime become less stretchy over time?,"Slime can lose moisture and its texture can change with storage, temperature, and repeated handling.",Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
89,Troubleshooting - Hard and Overactivated,What should I do before adding more activator to sticky slime?,Knead the slime thoroughly and verify that the activator is appropriate before adding more.,Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
90,Troubleshooting - Hard and Overactivated,What is the biggest mistake when activating slime?,Adding too much activator too quickly is a common mistake because it can turn a soft slime into a stiff or rubbery one.,Curated from Slime in the Coconut; ScienceInsights; Milwaukee With Kids
91,Troubleshooting - Texture and Appearance,Why does my clear slime look cloudy?,Cloudiness is often caused by trapped air bubbles. Letting clear slime rest in a covered container can allow the bubbles to disappear.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
92,Troubleshooting - Texture and Appearance,How do I make clear slime clearer?,Place the clear slime in a covered container and allow it to rest. The bubbles can gradually rise out and the slime can become more transparent.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
93,Troubleshooting - Texture and Appearance,Why does my slime have bubbles?,"Mixing introduces air into the slime. Bubbles are common, especially in clear slime.",Curated from Slime in the Coconut; One Little Project; Michigan Science Center
94,Troubleshooting - Texture and Appearance,How do I remove bubbles from clear slime?,Let the clear slime rest in a covered container for a few days. Avoid repeatedly whipping air into it.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
95,Troubleshooting - Texture and Appearance,Why is my slime lumpy?,Lumps can form when activator contacts one area before it is distributed. Stirring thoroughly and kneading can help smooth the mixture.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
96,Troubleshooting - Texture and Appearance,How do I fix lumpy slime?,Work the slime steadily by stirring and kneading so the activator becomes evenly distributed.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
97,Troubleshooting - Texture and Appearance,Why does my slime have a watery layer?,Separation can happen when the mixture is unbalanced or has been stored for some time. Mix it and assess the texture before making changes.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
98,Troubleshooting - Texture and Appearance,Why is my slime stringy?,Stringiness can occur when the slime is under-activated or when the polymer network is still developing.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
99,Troubleshooting - Texture and Appearance,Why does my slime foam up?,Foam can result from vigorous mixing or from ingredients such as shaving foam. Allowing the slime to rest can reduce trapped air.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
100,Troubleshooting - Texture and Appearance,Why does my slime become sticky when warm?,Warm conditions can soften slime and make it feel tackier. Letting it cool or resting it can improve handling.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
101,Troubleshooting - Texture and Appearance,Why does my slime feel different after refrigeration?,Cooling can temporarily change how soft or firm slime feels. Let it return toward room temperature before judging its final texture.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
102,Troubleshooting - Texture and Appearance,Why does my slime leave a film on my hands?,A thin film can indicate that the slime is still under-activated or that your hands are warm or damp.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
103,Troubleshooting - Texture and Appearance,Why did my slime change color?,"Color can change because of mixing colors, additives, light exposure, or changes in the materials used.",Curated from Slime in the Coconut; One Little Project; Michigan Science Center
104,Troubleshooting - Texture and Appearance,Why does glitter sink in my slime?,Some glitter is denser than the slime base and may settle. A thicker base can hold inclusions better.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
105,Troubleshooting - Texture and Appearance,Why do foam beads fall out of my slime?,The base may be too loose or sticky to hold the beads securely. The slime needs a suitable consistency for the amount and type of texture pieces added.,Curated from Slime in the Coconut; One Little Project; Michigan Science Center
106,Storage and Care,How should I store slime?,Store slime in an airtight container or sealed bag when it is not being used.,Curated from Michigan Science Center; Milwaukee With Kids; How2s
107,Storage and Care,Why should slime be stored in an airtight container?,A sealed container helps reduce moisture loss and keeps dust and other debris away from the slime.,Curated from Michigan Science Center; Milwaukee With Kids; How2s
108,Storage and Care,Can I store slime in a zip-top bag?,"Yes. A clean, sealed zip-top bag can be used for short-term storage.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
109,Storage and Care,How long does homemade slime last?,"Shelf life varies with ingredients, cleanliness, and storage. Some homemade slime lasts several days or longer when stored properly.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
110,Storage and Care,Why did my slime dry out?,"Repeated exposure to air can cause moisture loss, making slime firmer or less stretchy.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
111,Storage and Care,Can dried slime be softened?,"Depending on the recipe, a small amount of water or another compatible softening ingredient may help. Add it gradually and knead.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
112,Storage and Care,Should slime be kept covered while resting?,Yes. Covering slime helps keep it clean and reduces moisture loss while it rests.,Curated from Michigan Science Center; Milwaukee With Kids; How2s
113,Storage and Care,How do I keep slime clean?,"Use clean hands and a clean work surface, and store the slime in a sealed container.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
114,Storage and Care,Can slime collect dust?,"Yes. Slime is sticky and can pick up dust, hair, and other debris if it is left uncovered.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
115,Storage and Care,What should I do if slime gets dirty?,"Remove visible debris if practical. If the slime is heavily contaminated, it is safer to discard it rather than trying to clean it with random chemicals.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
116,Storage and Care,Can I leave slime uncovered overnight?,It is better to keep slime covered or sealed to reduce drying and contamination.,Curated from Michigan Science Center; Milwaukee With Kids; How2s
117,Storage and Care,Does storage affect slime texture?,"Yes. Exposure to air, temperature changes, and repeated handling can change texture over time.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
118,Storage and Care,Why did my slime shrink during storage?,"Some slime can lose moisture or change structure during storage, which can reduce its volume.",Curated from Michigan Science Center; Milwaukee With Kids; How2s
119,Storage and Care,Should I wash my hands before playing with slime?,Yes. Clean hands help keep the slime and your play area cleaner.,Curated from Michigan Science Center; Milwaukee With Kids; How2s
120,Storage and Care,What should I do with slime that smells bad or shows visible contamination?,Discard it rather than trying to restore it. Unusual odor or visible contamination is a reason not to continue handling it.,Curated from Michigan Science Center; Milwaukee With Kids; How2s
121,Safety,Is homemade slime edible?,Standard glue-based slime is not food and should not be eaten.,Curated from Fun Science UK; Contact Lenses UK; How2s
122,Safety,Can children make slime alone?,"Young children should have appropriate adult supervision, especially when recipes involve borate activators or other chemicals.",Curated from Fun Science UK; Contact Lenses UK; How2s
123,Safety,Should I wash my hands after playing with slime?,Yes. Wash hands after handling slime and clean the work surface.,Curated from Fun Science UK; Contact Lenses UK; How2s
124,Safety,Should slime be kept away from eyes?,Yes. Keep slime and its ingredients away from the eyes and face.,Curated from Fun Science UK; Contact Lenses UK; How2s
125,Safety,What should I do if slime gets in my eyes?,Rinse the eyes with clean water and seek appropriate medical advice if irritation persists or the exposure is concerning.,Curated from Fun Science UK; Contact Lenses UK; How2s
126,Safety,Can slime be used on broken skin?,It is better to avoid putting homemade slime on broken or irritated skin.,Curated from Fun Science UK; Contact Lenses UK; How2s
127,Safety,Is borax safe to handle?,Borax and borate-containing materials should be handled carefully according to the product instructions. Avoid ingestion and unnecessary skin or eye contact.,Curated from Fun Science UK; Contact Lenses UK; How2s
128,Safety,Why should activator be handled carefully?,Some activators can irritate skin or eyes. Use the amount specified by the recipe and follow the product's safety instructions.,Curated from Fun Science UK; Contact Lenses UK; How2s
129,Safety,Can I use random household chemicals as slime activators?,No. Use only an activator that is appropriate for the recipe and known to be compatible with the slime ingredients.,Curated from Fun Science UK; Contact Lenses UK; How2s
130,Safety,Should slime ingredients be stored safely?,Yes. Keep ingredients and activators in their original containers or clearly labeled containers and away from young children and pets.,Curated from Fun Science UK; Contact Lenses UK; How2s
131,Safety,Can pets play with slime?,No. Homemade slime is not intended as a pet toy and may contain ingredients that are unsafe if swallowed.,Curated from Fun Science UK; Contact Lenses UK; How2s
132,Safety,Can slime be used near food?,Keep slime-making materials separate from food-preparation areas and never use food utensils for slime if they will later be used for eating.,Curated from Fun Science UK; Contact Lenses UK; How2s
133,Safety,Why should I avoid putting slime in my mouth?,"Slime may contain glue, activators, colors, fragrances, or other materials that are not intended to be eaten.",Curated from Fun Science UK; Contact Lenses UK; How2s
134,Safety,What should I do after making slime?,"Clean the work area, wash your hands, and store the finished slime in a sealed container.",Curated from Fun Science UK; Contact Lenses UK; How2s
135,Safety,When should I throw slime away?,"Discard slime if it becomes contaminated, develops an unusual odor, shows visible mold, or can no longer be safely handled.",Curated from Fun Science UK; Contact Lenses UK; How2s
136,Slime Science,What is the science behind slime?,"Slime demonstrates polymer behavior. An activator links polymer chains in the base, producing a material with both liquid-like and solid-like behavior.",Curated from Fun Science UK; Michigan Science Center
137,Slime Science,What is a polymer?,A polymer is a material made from long chains of repeating molecular units.,Curated from Fun Science UK; Michigan Science Center
138,Slime Science,Why is slime stretchy?,"The linked polymer chains can move and deform while remaining connected, allowing slime to stretch.",Curated from Fun Science UK; Michigan Science Center
139,Slime Science,Why does slime flow slowly?,"Slime is viscoelastic, meaning it has both viscous and elastic characteristics.",Curated from Fun Science UK; Michigan Science Center
140,Slime Science,Is slime a liquid or a solid?,Slime behaves as a viscoelastic material and can show characteristics of both liquids and soft solids.,Curated from Fun Science UK; Michigan Science Center
141,Slime Science,What happens when activator is added to PVA glue?,"The activator promotes cross-linking between polymer chains, making the mixture thicker and more cohesive.",Curated from Fun Science UK; Michigan Science Center
142,Slime Science,What does cross-linking mean?,"Cross-linking means forming connections between polymer chains, creating a network that changes the material's properties.",Curated from Fun Science UK; Michigan Science Center
143,Slime Science,Why does too much activator make slime stiff?,"More cross-linking can create a tighter polymer network, reducing the freedom of the chains to move and making the slime stiffer.",Curated from Fun Science UK; Michigan Science Center
144,Slime Science,Why does too little activator make slime sticky?,"With insufficient cross-linking, polymer chains remain more mobile and can cling to surfaces.",Curated from Fun Science UK; Michigan Science Center
145,Slime Science,Why does slime stretch slowly instead of snapping immediately?,"The polymer network can deform over time, giving slime viscoelastic behavior.",Curated from Fun Science UK; Michigan Science Center
146,Slime Science,Why does slime bounce sometimes?,"A well-formed slime network can store and release some mechanical energy, allowing the material to rebound.",Curated from Fun Science UK; Michigan Science Center
147,Slime Science,Why does stirring change slime texture?,Stirring redistributes ingredients and applies mechanical forces to the developing polymer network.,Curated from Fun Science UK; Michigan Science Center
148,Slime Science,Why does kneading change slime?,Kneading distributes ingredients and changes the physical arrangement of the polymer network.,Curated from Fun Science UK; Michigan Science Center
149,Slime Science,What is the Weissenberg effect in slime?,The Weissenberg effect is a viscoelastic behavior in which a rotating rod can cause a fluid-like polymer material to climb the rod.,Curated from Fun Science UK; Michigan Science Center
150,Slime Science,Why is clear slime useful for observing bubbles?,Its transparent base makes trapped air bubbles easy to see as the slime rests and becomes clearer.,Curated from Fun Science UK; Michigan Science Center
151,Customization,How can I customize slime color?,Add small amounts of suitable coloring to the glue before activation and adjust gradually.,Curated from Michigan Science Center; One Little Project; Milwaukee With Kids
152,Customization,How can I make slime glittery?,Mix an appropriate amount of craft glitter into the slime base before or during activation.,Curated from Michigan Science Center; One Little Project; Milwaukee With Kids
153,Customization,How can I make slime fluffy?,Incorporate shaving foam into a suitable slime base before adding the activator.,Curated from Michigan Science Center; One Little Project; Milwaukee With Kids
154,Customization,How can I make slime crunchy?,Mix small foam beads or another suitable texture material into the finished or partially formed slime.,Curated from Michigan Science Center; One Little Project; Milwaukee With Kids
155,Customization,How can I make slime softer?,A balanced activation level is the first priority. Some recipes also use a small amount of lotion or another compatible softener.,Curated from Michigan Science Center; One Little Project; Milwaukee With Kids
